"MCS","Target"
"[#6](-[#6]-[#6]1-[#6]-[#6]-[#7]-[#6]-1=[#8])-[#7]-[#6](=[#8])-[#6]-[#7]-[#6](=[#8])-[#6]-[#7]-[#6](=[#8])-[#8]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P0C6X7"
"[#6](-[#6]-[#6]1:[#6]:[#7]:[#6]:[#7]:1)-[#7]-[#6]-[#6]1-[#6]-[#6]2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#7]-1-[#6](=[#8])-[#6]:,-[#6]","P0C6X7"
"[#8]=[#6](-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6](-[#6]-[#6](-,:[#6])-,:[#6])-[#6](=[#8])-[#7]-[#6](-[#6]-[#6]1-[#6]-[#6]-[#7]-[#6]-1=[#8])-[#6]-[#6](=[#8])-[#7]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P0C6X7"
"[#6]1:[#7]:[#6]2:[#6](:[#7]:[#6]:[#7]:2-[#6]2-[#8]-[#6](-[#6]-[#8]-[#15](=[#8])-[#8]-[#15](=[#8])-[#8]-[#15](=[#8])-[#8]-[#6]-[#6]3-[#8]-[#6](-[#7]4:[#6]:[#7]:[#6]5:[#6]:[#7]:[#6]:[#7]:[#6]:4:5)-[#6]-[#6]-3)-[#6]-[#6]-2):[#6](=[#8]):[#7H]:1","P0C6X7"
"[#6]1:[#7]:[#6]:[#7]:[#6]2:[#6]:1:[#7]:[#6]:[#7]:2","P0DTD1"
"[#6]1(-[#6]2:[#6]:[#6]:[#6]3:[#6]:[#7]:[#6]:[#7]:[#7]:2:3)-[#8]-[#6]-[#6]-[#6]-1","P0DTD1"
"[#7]1-[#6]-[#6]2-[#6](-[#6]-1-[#6](=[#8])-[#7]-[#6]-[#6]-[#6]1-[#6]-[#6]-[#6]-1)-[#6]-2","P0DTD1"
"[#7H+]1:[#6]:[#7](-[#6]2-[#8]-[#6]-[#6]-[#6]-2):[#6]2:[#7]:[#6]:[#7H]:[#6](=[#8]):[#6]:1:2","P0DTD1"
"[#7]=[#6]1-[#6]-[#6]-[#6]-[#7]-1-[#6]-[#6]1:[#7H]:[#6](=[#8]):[#7H]:[#6](=[#8]):[#6]:1","P0DTD1"
"[#8]=[#6]1:[#6]:[#6](-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#8]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2","P0DTD1"
"[#8]=[#6](-[#7]-[#6]-[#6]-[#6]1:[#6]:[#6]:[#7]:[#6]:[#6]:1)-[#7]-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1","P0DTD1"
"[#6](-[#7]-[#6](=[#8])-[#8]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]-[#6]-[#6]1-[#6]-[#6]-[#7]-[#6]-1=[#8]","P0DTD1"
"[#6]1:[#6]:[#6](-[#6]-[#7]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6]2:[#7]:[#6](-[#7]3-[#6]-[#6]-[#8]-[#6]-[#6]-3):[#6]:[#6](=[#8]):[#7]:2:[#6]:1","P0DTD1"
"[#6](-[#6]-[#6]1-[#6]-[#6]-[#7]-[#6]-1=[#8])-[#7]-[#6](=[#8])-[#6]-[#7]-[#6](=[#8])-[#6]-[#7]-[#6](=[#8])-[#8]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P0DTD1"
"[#6]1:[#7]:[#6]:[#7]:[#6]2:[#6]:1:[#7]:[#6]:[#7]:2-[#6]1-[#8]-[#6](-[#6]-[#8]-[#15](=[#8])-[#8]-[#15](=[#8])-[#8]-[#6]-[#6]2-[#8]-[#6]-[#6]-[#6]-2)-[#6]-[#6]-1","P0DTD1"
"[#6]1:[#6]:[#6]:[#6](-[#7](-[#6](=[#8])-[#6]2:[#6]:[#7H]:[#6]:[#7]:2)-[#6](-[#6](=[#8])-[#7]-[#6]2-[#6]-[#6]-[#6]-[#6]-[#6]-2)-[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2):[#6]:[#6]:1","P0DTD1"
"[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#16]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#8]=[#6](-[#7]-[#6]-[#6]-[#6]1:[#6]:[#7]:[#6]:[#7]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#6]-[#6]-[#7](-[#6]-2)-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#16]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#7]:[#6]:[#7]:1","P20701"
"[#6]1-[#6]-[#6]-[#6]=[#6]2-[#6]=[#6]-[#6]-[#6](-[#6]-[#6]-[#6]3-[#6]-[#6]-[#6]-[#6](=[#8])-[#8]-3)-[#6]-1-2","P20701"
"[#7]1-[#6](=[#8])-[#7](-[#6](-[#6]-1-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6](=[#8])-[#7]-[#6]-[#6]-[#6]1:[#6]:[#7]:[#6]2:[#6]:1:[#6]:[#6]:[#6]:[#6]:2","P20701"
"[#6]1:[#6]:[#6]:[#6](-[#7]2:[#7]:[#6](-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3):[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:2:3):[#6]:[#6]:1","P20701"
"[#6]1=[#6](-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6](=[#8])-[#7]2-[#6]-[#6]-[#6]-[#6]-1-2-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#7]1-[#6]-[#6]-[#7](-[#6](=[#8])-[#6]=[#6]-[#6]2=[#6]-[#6]-[#6](-[#16]-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3)-[#6]=[#6]-2)-[#6]-[#6]-1","P20701"
"[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6](=[#8])-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#16]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#16]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]","P20701"
"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#16]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]=[#6]-[#6](=[#8])-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1","P20701"
"[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#16]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#7]-[#6]-[#6]-[#6]-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1","P20701"
"[#6](-[#6])-[#6]-[#7](-[#6])-[#6]1:[#6]:[#6](-[#6]2:[#6]:[#6]:[#6](:[#6]:[#6]:2)-[#16]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:[#7]:1","P20701"
"[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#16]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#16]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#7]:[#6](:[#6]:1)-[#7]1-[#6]-[#6]-[#6]-[#6]-[#6]-1","P20701"
"[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6](=[#8])-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#16]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6](=[#8])-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#16]-[#6](:[#6]):[#6]:[#6]:[#6]:[#6]:[#7]","P20701"
"[#6](-[#6]-[#6]-[#6]=[#6]-[#6])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#6]-,:[#6]:[#6]:,-[#6]:[#6]:[#6]:[#6]-[#16]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#16]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2)-[#7]1-[#6]-[#6]-[#6](-[#7](-[#6]-[#6]-1=[#8])-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)=[#8]","P20701"
"[#6]1:[#6]:[#6]:[#6](:[#8]:1)-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#6]-[#6]-[#7](-[#6]-2)-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#6]1-[#6](=[#8])-[#7](-[#6]-[#6]-[#6]2:[#6]:[#6]:[#6]3:[#6](:[#6]:2):[#6]:[#6]:[#6]:[#6]:3)-[#6]-[#6]-[#6]-[#7]-1-[#6](=[#8])-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#6]1-[#6](=[#8])-[#7](-[#6]-[#6]-[#6]2:[#6]:[#6]:[#6]3:[#6](:[#6]:2):[#6]:[#6]:[#6]:[#6]:3)-[#6]-[#6]-[#6]-[#7]-1-[#6]-,:[#6]-,:[#6]:[#6]:[#6]","P20701"
"[#7]1-[#6](=[#8])-[#7](-[#6](-[#6]-12-[#6]-[#7](-[#6]-[#6]-2-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]:,-[#6]:[#6]:[#6]:,-[#6])=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P20701"
"[#8]=[#6]1-[#6]2-[#6]-[#6]-[#6]-[#7]-2-[#6](-[#7]-1-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)=[#8]","P20701"
"[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2)-[#7](-[#6])-[#6](-[#6]-[#7](-[#6](-[#6])=[#8])-[#6]-[#6])=[#8]","P20701"
"[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#16]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]=[#6]-[#6](=[#8])-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1","P20701"
"[#6]-[#6]-[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#6]-[#6]-[#7](-[#6]-2)-[#6](=[#8])-[#6]1:[#6]:[#6]2:[#6](:[#8]:1):[#6]:[#6]:[#6]:[#6]:2","P20701"
"[#7H]1:[#6]:[#6](-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]3:[#6](:[#6]:2)-[#6]-[#6]-[#7](-[#6](=[#8])-[#6]2:[#6]:[#6]4:[#6]:[#6]:[#6]:[#6]:[#7]:4:[#7]:2)-[#6]-3):[#7]:[#7]:1","P20701"
"[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]1-[#6]-[#6]-[#6]2:[#6](-[#6]-1):[#6]:[#6]:[#6](:[#6]:2)-[#6](=[#8])-[#7]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]:[#6]:[#6]:[#6]","P20701"
"[#8]=[#6](-[#7]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#6]-[#6]-[#7](-[#6]-2)-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]:,-[#6]:,-[#6]:,-[#6]","P20701"
"[#8]=[#6](-[#7]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1)-[#6]-[#6]-[#7](-[#6](=[#8])-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6]:[#8]:1)-[#6]-2)-[#6]1:[#6]:[#6]:[#6]:[#16]:1","P20701"
"[#8]=[#6](-[#6]=[#6]-[#6]1:[#6]:[#6]:[#6](-[#16]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#6]=[#6]-[#6](=[#8])-[#7]2-[#6]-[#6]-[#8]-[#6]-[#6]-2):[#6]:[#6]:1)-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1","P20701"
"[#6](-[#7]-[#6](=[#8])-[#6]1:[#6]:[#7]:[#6]2:[#7]:1-[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6](=[#8])-[#7]-2-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]1(-[#6]2:[#6]:[#6]:[#6]:[#6]:[#7]:2)-[#6]-[#6]-1","P20701"
"[#6]1:[#6]:[#7H]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2","Q9BYF1"
"[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
"[#6]1:[#6]:[#6]:[#6](-[#6]2-[#6]-[#6]-[#6]-[#6]-[#6]-2):[#6]:[#6]:1","Q9BYF1"
"[#6]1:[#6]:[#7]:[#6]:[#7]:1-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
"[#6]1-[#6]-[#6]-[#6]2:[#6]3-[#7](-[#6]-1=[#8])-[#6]-[#6]-[#6]:3:[#6]:[#6]:[#6]:2","Q9BYF1"
"[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:1","Q9BYF1"
"[#6]-[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
"[#6](-,:[#6]-,:[#6])-,:[#6]-,:[#6]-,:[#6]-[#6](=[#8])-[#7]-[#6]-[#6]-[#6]-,:[#6]","Q9BYF1"
"[#6](-[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6](=[#8])-[#7]1-[#6]-[#6]-[#6]-[#6]-1","Q9BYF1"
"[#6](-[#6]-[#6]1:[#6]:[#7]:[#6]:[#7]:1)-[#6](=[#8])-[#7]-[#6]-[#15](=[#8])-[#6]-[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
"[#6](-[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6](=[#8])-[#6]-[#6]-[#6]:[#6]:[#6]:[#6]","Q9BYF1"
"[#6](-[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
"[#8]=[#6](-[#7]-[#6]1-[#6]-[#6]-[#6]2:[#6]3-[#7](-[#6]-1=[#8])-[#6]-[#6]-[#6]:3:[#6]:[#6]:[#6]:2)-[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
"[#6](-[#6]-[#6]1:[#6]:[#7]:[#6]:[#7]:1)-[#6](=[#8])-[#7]-[#6]-[#15](=[#8])-[#6]-[#6]-[#6]-[#6]1:[#6]:[#6](:[#7]:[#8]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
"[#6](-[#8]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]-[#6](=[#8])-[#7]-[#6]-[#6]-[#6]1:[#6]:[#6]:[#6](-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:1","Q9BYF1"
"[#8]=[#6](-[#6]-[#6]-[#6](=[#8])-[#7]1-[#6]-[#6]-[#6]-[#6]-1)-[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6](=[#8])-[#6]1-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:1","Q9BYF1"
"[#8]=[#6](-[#7]-[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1)-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7]1-[#6]-[#6]-[#6]-[#6]-1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
"[#8]=[#6](-[#7]-[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6](=[#8])-[#6]-[#6]-[#6]-[#6](=[#8])-[#7]1-[#6]-[#6]-[#6]-[#6]-1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
"[#8]=[#6](-[#7]-[#6](-[#6]-[#6](:[#6]:[#6]):[#6]:[#6]:[#6]:,-[#6]:[#6]:[#6]:[#6])-[#6](=[#8])-[#7]1-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
"[#8]=[#6]-[#7]-[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7]1-[#6]-[#6]-[#6]-[#6]-1","Q9BYF1"
"[#8]=[#6](-[#6]-[#6]-[#6](=[#8])-[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
"[#8]=[#6](-[#7]-[#6](-[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:1)-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7]1-[#6]-[#6]-[#6]-[#6]-1-[#6](=[#8])-[#8]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","Q9BYF1"
